央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.118:5140#http://218.8.87.96:4000/udp/229.58.190.151:5000#http://218.8.87.96:4000/udp/229.58.129.151:5000#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225673/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226163/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.119:5140#http://218.8.87.96:4000/udp/229.58.190.153:5000#http://218.8.87.96:4000/udp/229.58.190.130:5000#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226122/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.196:5140#http://218.8.87.96:4000/udp/229.58.190.35:5000#http://218.8.87.96:4000/udp/229.58.190.24:5000#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225766/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226165/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.4:5140#http://218.8.87.96:4000/udp/229.58.190.131:5000#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226124/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.197:5140#http://218.8.87.96:4000/udp/229.58.190.60:5000#http://218.8.87.96:4000/udp/229.58.190.32:5000#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225734/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.220:5140#http://218.8.87.96:4000/udp/229.58.190.154:5000#https://stream1.freetv.fun/260b9f0cb939ff667a7a848531eb1e3074055eaa25b95d639a7bdc148e6ba471.ctv
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.198:5140#http://218.8.87.96:4000/udp/229.58.190.61:5000#http://218.8.87.96:4000/udp/229.58.190.48:5000#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225741/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226148/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.120:5140#http://218.8.87.96:4000/udp/229.58.190.132:5000#http://218.8.87.96:4000/udp/229.58.190.82:5000#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225701/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225701/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.199:5140#http://218.8.87.96:4000/udp/229.58.190.63:5000#http://218.8.87.96:4000/udp/229.58.190.50:5000#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226167/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225736/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8#http://123.157.31.182:7912/rtp/233.50.201.121:5140#http://218.8.87.96:4000/udp/229.58.190.156:5000#http://218.8.87.96:4000/udp/229.58.58.156:5000#https://stream1.freetv.fun/72df79b1a6e2e9f481761c6f925aa275908f41120aea73c241ba767234402730.ctv
